$wmc,$dit,$noc,$cbo,$rfc,$lcom,$ca,$ce,$npm,$lcom3,$loc,$dam,$moa,$mfa,$cam,$ic,$cbm,$amc,$max_cc,$avg_cc,$<bug
11.0,4.0,2.0,14.0,42.0,29.0,2.0,12.0,5.0,0.725,395.0,1.0,1.0,0.885057471,0.232323232,3.0,4.0,34.54545455,3.0,1.2727,0.0
14.0,1.0,1.0,8.0,32.0,49.0,4.0,4.0,12.0,0.835164835,257.0,1.0,0.0,0.0,0.307692308,0.0,0.0,16.85714286,6.0,1.6429,1.0
3.0,2.0,0.0,1.0,9.0,0.0,0.0,1.0,1.0,0.0,58.0,1.0,1.0,0.7142857140000001,0.666666667,1.0,1.0,17.33333333,1.0,0.6667,0.0
12.0,3.0,0.0,12.0,37.0,32.0,0.0,12.0,12.0,0.8585858590000001,310.0,1.0,1.0,0.770833333,0.458333333,0.0,0.0,24.08333333,3.0,1.4167,0.0
6.0,3.0,0.0,4.0,21.0,1.0,0.0,4.0,6.0,0.7,136.0,1.0,0.0,0.880952381,0.4166666670000001,2.0,2.0,21.0,1.0,0.8333,0.0
5.0,1.0,0.0,3.0,15.0,0.0,2.0,1.0,4.0,0.5,137.0,1.0,0.0,0.0,0.9,0.0,0.0,25.2,4.0,1.8,0.0
4.0,4.0,0.0,6.0,32.0,6.0,0.0,6.0,1.0,2.0,325.0,0.0,0.0,0.963855422,0.75,3.0,5.0,80.25,11.0,5.25,0.0
16.0,3.0,0.0,3.0,40.0,84.0,1.0,2.0,16.0,0.658333333,604.0,1.0,2.0,0.580645161,0.291666667,2.0,7.0,36.25,1.0,0.8125,0.0
4.0,5.0,0.0,5.0,21.0,0.0,0.0,5.0,4.0,0.333333333,87.0,1.0,0.0,0.98089172,1.0,1.0,1.0,20.5,3.0,1.25,0.0
17.0,3.0,0.0,10.0,55.0,76.0,5.0,6.0,11.0,0.59375,461.0,1.0,0.0,0.6521739129999999,0.28571428600000004,1.0,1.0,25.88235294,6.0,2.6471,1.0
9.0,3.0,0.0,9.0,29.0,0.0,0.0,9.0,9.0,0.583333333,168.0,1.0,1.0,0.8222222220000001,0.444444444,0.0,0.0,17.33333333,2.0,1.4444,0.0
3.0,3.0,0.0,3.0,14.0,1.0,0.0,3.0,3.0,0.5,84.0,1.0,0.0,0.948717949,0.666666667,1.0,1.0,26.66666667,1.0,0.6667,1.0
10.0,3.0,0.0,5.0,41.0,21.0,1.0,5.0,7.0,0.793650794,360.0,1.0,0.0,0.804347826,0.45,0.0,0.0,34.3,2.0,1.1,0.0
17.0,2.0,0.0,9.0,64.0,76.0,7.0,2.0,9.0,0.879166667,713.0,0.6,2.0,0.708333333,0.339285714,1.0,3.0,40.05882353,9.0,1.4118,1.0
5.0,1.0,5.0,12.0,11.0,8.0,11.0,1.0,5.0,0.75,59.0,1.0,0.0,0.0,0.7,0.0,0.0,10.6,5.0,1.6,0.0
10.0,1.0,0.0,9.0,49.0,1.0,0.0,9.0,8.0,0.920634921,382.0,1.0,0.0,0.0,0.833333333,0.0,0.0,35.1,4.0,1.9,0.0
22.0,4.0,0.0,16.0,72.0,165.0,1.0,16.0,16.0,0.904761905,675.0,1.0,1.0,0.787878788,0.227272727,3.0,3.0,29.04545455,4.0,1.2273,1.0
5.0,1.0,0.0,4.0,13.0,0.0,0.0,4.0,5.0,0.5,65.0,1.0,0.0,0.0,0.8,0.0,0.0,11.6,3.0,1.2,0.0
4.0,1.0,0.0,2.0,7.0,6.0,1.0,1.0,4.0,2.0,20.0,0.0,0.0,0.0,0.875,0.0,0.0,4.0,1.0,0.75,0.0
4.0,1.0,0.0,3.0,4.0,6.0,2.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0
9.0,1.0,4.0,8.0,15.0,18.0,5.0,3.0,5.0,0.708333333,98.0,1.0,1.0,0.0,0.288888889,0.0,0.0,9.555555556,2.0,1.0,0.0
8.0,3.0,0.0,6.0,46.0,10.0,0.0,6.0,7.0,0.771428571,394.0,1.0,0.0,0.8409090909999999,0.375,1.0,1.0,47.625,2.0,1.0,0.0
22.0,4.0,1.0,15.0,104.0,185.0,2.0,13.0,8.0,0.8392857140000001,1180.0,1.0,0.0,0.7959183670000001,0.180272109,3.0,3.0,52.27272727,3.0,1.0455,1.0
2.0,1.0,0.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,0.0
7.0,2.0,1.0,8.0,15.0,1.0,7.0,1.0,4.0,0.583333333,92.0,1.0,1.0,0.454545455,0.464285714,1.0,1.0,11.57142857,1.0,0.8571,0.0
2.0,1.0,0.0,1.0,6.0,0.0,1.0,0.0,2.0,1.0,39.0,1.0,0.0,0.0,0.666666667,0.0,0.0,16.5,2.0,1.0,0.0
23.0,1.0,1.0,22.0,51.0,181.0,20.0,2.0,14.0,0.731404959,1407.0,1.0,0.0,0.0,0.290909091,0.0,0.0,59.69565217,35.0,5.8696,0.0
12.0,1.0,0.0,3.0,21.0,44.0,1.0,2.0,5.0,0.805194805,147.0,1.0,1.0,0.0,0.261904762,0.0,0.0,10.66666667,4.0,1.25,0.0
3.0,3.0,0.0,5.0,17.0,0.0,1.0,5.0,3.0,0.0,91.0,1.0,0.0,0.948717949,1.0,0.0,0.0,29.0,1.0,0.6667,0.0
4.0,1.0,0.0,2.0,5.0,6.0,1.0,1.0,4.0,2.0,16.0,0.0,0.0,0.0,0.875,0.0,0.0,3.0,1.0,0.75,0.0
3.0,1.0,0.0,8.0,16.0,3.0,1.0,7.0,1.0,2.0,125.0,0.0,0.0,0.0,0.444444444,0.0,0.0,40.66666667,1.0,0.6667,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,6.0,0.0,7.0,33.0,28.0,0.0,7.0,6.0,0.8125,163.0,1.0,0.0,0.950617284,0.4,4.0,6.0,16.88888889,2.0,1.0,0.0
7.0,3.0,0.0,7.0,22.0,0.0,0.0,7.0,7.0,0.625,147.0,1.0,0.0,0.860465116,0.342857143,1.0,1.0,19.42857143,5.0,1.4286,0.0
16.0,3.0,2.0,24.0,56.0,0.0,16.0,8.0,14.0,0.6,353.0,1.0,1.0,0.681818182,0.2265625,1.0,1.0,20.8125,4.0,1.75,1.0
13.0,3.0,0.0,7.0,35.0,52.0,0.0,7.0,10.0,0.869047619,273.0,1.0,2.0,0.7551020409999999,0.353846154,1.0,1.0,19.46153846,6.0,1.6923,0.0
